order,Category01,FullName,Category02,KEGG,PFAM,GeneID,Descriptions,,REFs,Questions,,,,Category01
,Phagotrophy,"actin related protein 2/3 complex, subunit 2",Actin polymerization,K05758,,ARPC2,,,,,,,,
,Phagotrophy,"actin related protein 2/3 complex, subunit 3",Actin polymerization,K05756,,ARPC3,,,,,,,,
,Phagotrophy,"actin related protein 2/3 complex, subunit 4",Actin polymerization,K05755,,ARPC4,,,,,,,,
,Phagotrophy,"actin related protein 2/3 complex, subunit 5",Actin polymerization,K05754,,ARPC5,,,,,,,,
,Phagotrophy,actin-like protein 6B,Actin polymerization,K11652,,ACTL6B,,,,,,,,
,Phagotrophy,actin-related protein 10,Actin polymerization,K16576,,"ACTR10, ARP11",,,,,,,,
,Phagotrophy,actin-related protein 2,Actin polymerization,K17260,,"ACTR2, ARP2",,,,,,,,
,Phagotrophy,actin-related protein 3,Actin polymerization,K18584,,"ACTR3, ARP3",,,,,,,,
,Phagotrophy,actin-related protein 5,Actin polymerization,K11672,,"ACTR5, ARP5, INO80M",,,,,,,,
,Phagotrophy,actin-related protein 6,Actin polymerization,K11662,,"ACTR6, ARP6",,,,,,,,
,Phagotrophy,actin-related protein 8,Actin polymerization,K11673,,"ACTR8, ARP8, INO80N",,,,,,,,
,Phagotrophy,"actin, other eukaryote",Actin polymerization,K10355,,ACTF,,,,,,,,
,Phagotrophy,glucocorticoid receptor DNA-binding factor 1,Actin polymerization,K05732,,"ARHGAP35, GRLF1",,,,,,,,
,Phagotrophy,neural Wiskott-Aldrich syndrome protein,Actin polymerization,K23612,,WASL,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 1,Actin polymerization,K18470,,"ARHGAP1, CDC42GAP",,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 10,Actin polymerization,K13736,,ARHGAP10,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 11,Actin polymerization,K20635,,ARHGAP11,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 12/27,Actin polymerization,K20636,,ARHGAP12_27,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 15,Actin polymerization,K20637,,ARHGAP15,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 17,Actin polymerization,K20638,,"ARHGAP17, RICH1",,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 18/28/40,Actin polymerization,K20639,,ARHGAP18_28_40,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 20,Actin polymerization,K20641,,ARHGAP20,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 21/23,Actin polymerization,K20315,,ARHGAP21_23,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 22/24/25,Actin polymerization,K20642,,ARHGAP22_24_25,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 26,Actin polymerization,K20071,,"ARHGAP26, GRAF",,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 29/45,Actin polymerization,K20644,,ARHGAP29_45,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 32,Actin polymerization,K20647,,ARHGAP32,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 39,Actin polymerization,K20649,,ARHGAP39,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 4,Actin polymerization,K20122,,ARHGAP4,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 42,Actin polymerization,K20651,,"ARHGAP42, GRAF3",,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 44,Actin polymerization,K21067,,"ARHGAP44, RICH2",,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 5,Actin polymerization,K13709,,ARHGAP5,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 6,Actin polymerization,K20631,,ARHGAP6,,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 8,Actin polymerization,K20633,,"ARHGAP8, BPGAP1",,,,,,,,
,Phagotrophy,Rho GTPase-activating protein 9,Actin polymerization,K20634,,ARHGAP9,,,,,,,,
,Phagotrophy,"WAS protein family, member 1",Actin polymerization,K05753,,WASF1,,,,,,,,
,Phagotrophy,"WAS protein family, member 2",Actin polymerization,K05748,,WASF2,,,,,,,,
,Phagotrophy,"WAS protein family, member 3",Actin polymerization,K06083,,WASF3,,,,,,,,
,Phagotrophy,Wiskott-Aldrich syndrome protein,Actin polymerization,K05747,,WAS,,,,,,,,
,Phagotrophy,chitin synthase ,Chitinase,K00698,,CHS1,,,,,,,,
,Phagotrophy,chitinase ,Chitinase,K01183,,chitinase,,,,,,,,
,Phagotrophy,1-phosphatidylinositol-4-phosphate 5-kinase,Endocytosis,K00889,,PIP5K,,,,,,,,
,Phagotrophy,actin beta/gamma 1,Endocytosis,K05692,,actin beta/gamma 1,,,,,,,,
,Phagotrophy,ADP-ribosylation factor GTPase-activating protein 1,Endocytosis,K12492,,ARFGAP1,,,,,,,,
,Phagotrophy,Amphiphysin,Endocytosis,K12562,,AMPH,,,,,,,,
,Phagotrophy,AP-2 complex subunit alpha,Endocytosis,K11824,,AP2A,,,,,,,,
,Phagotrophy,Arf-GAP with coiled-coil ANK repeat and PH domain-containing protein,Endocytosis,K12489,,ACAP,,,,,,,,
,Phagotrophy,Brefeldin A-inhibited guanine nucleotide-exchange protein,Endocytosis,K18442,,"ARFGEF, BIG",,,,,,,,
,Phagotrophy,Charged multivesicular body protein 4,Endocytosis,K12194,,"CHMP4, SNF7, VPS32",,,,,,,,
,Phagotrophy,Charged multivesicular body protein 5,Endocytosis,K12198,,"CHMP5, VPS60",,,,,,,,
,Phagotrophy,Clathrin heavy chain,Endocytosis,K04646,,CLTC,,,,,,,,
,Phagotrophy,coronin-1A,Endocytosis,K13882,,coronin-1A,,,,,,,,
,Phagotrophy,EH domain-containing protein 1,Endocytosis,K12483,,EHD1,,,,,,,,
,Phagotrophy,Endocytosis,Endocytosis,K23484,,dynamin 2,,,,,,,,
,Phagotrophy,Endocytosis,Endocytosis,K04393,,Cdc42,,cell division control protein 42,,,,,,
,Phagotrophy,Endocytosis,Endocytosis,K04392,,RAC1,,Ras-related C3 botulinum toxin substrate 1,,,,,,
,Phagotrophy,Epsin,Endocytosis,K12471,,EPN,,,,,,,,
,Phagotrophy,Folate receptor,Endocytosis,K13649,,FOLR,,,,,,,,
,Phagotrophy,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,Endocytosis,K18443,,GBF1,,,,,,,,
,Phagotrophy,Heat shock 70kDa protein 1/8,Endocytosis,K03283,,HSPA1_8,,,,,,,,
,Phagotrophy,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [EC:2.7.1.153]",Endocytosis,K21289,,PIK3CG,,,,,,,,
,Phagotrophy,phospholipase D1/2,Endocytosis,K01115,,phospholipase D1/2,,,,,,,,
,Phagotrophy,phospholipase D3/4,Endocytosis,K16860,,phospholipase D3/4,,,,,,,,
,Phagotrophy,Programmed cell death 6-interacting protein,Endocytosis,K12200,,"PDCD6IP, ALIX, RIM20",,,,,,,,
,Phagotrophy,Ras-related protein Rab-5C,Endocytosis,K07889,,RAB5C,,,,,,,,
,Phagotrophy,Ras-related protein Rab-8A,Endocytosis,K07901,,"RAB8A, MEL",,,,,,,,
,Phagotrophy,Sorting nexin-1/2,Endocytosis,K17917,,SNX1_2,,,,,,,,
,Phagotrophy,Stromal membrane-associated protein ‚Äö√Ñ√¨,Endocytosis,K12486,,SMAP ,,,,,,,,
,Phagotrophy,vesicle-associated membrane protein 3,Endocytosis,K13505,,vesicle-associated membrane protein 3,,,,,,,,
,Phagotrophy,WASH complex subunit strumpellin,Endocytosis,K18464,,"RTSC, SPG8",,,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K00645,,fabD,,[acyl-carrier-protein] S-malonyltransferase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K10251,,"HSD17B12, KAR, IFA38",,17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K01716,,fabA,,3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K02372,,fabZ,,3-hydroxyacyl-[acyl-carrier-protein] dehydratase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K00022,,HADH,,3-hydroxyacyl-CoA dehydrogenase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K15397,,KCS,,3-ketoacyl-CoA synthase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K00059,,fabG,,3-oxoacyl-[acyl-carrier protein] reductase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K00647,,fabB,,3-oxoacyl-[acyl-carrier-protein] synthase I ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K09458,,fabF,,3-oxoacyl-[acyl-carrier-protein] synthase II ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K00648,,fabH,,3-oxoacyl-[acyl-carrier-protein] synthase III ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K07509,,HADHB,,acetyl-CoA acyltransferase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K07508,,ACAA2,,acetyl-CoA acyltransferase 2 ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K11262,,ACACA,,acetyl-CoA carboxylase / biotin carboxylase 1 ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K02160,,"accB, bccP",,acetyl-CoA carboxylase biotin carboxyl carrier protein,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K01962,,accA,,acetyl-CoA carboxylase carboxyl transferase subunit alpha ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K01963,,accD,,acetyl-CoA carboxylase carboxyl transferase subunit beta ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K01961,,accC,,"acetyl-CoA carboxylase, biotin carboxylase subunit ",,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K11263,,bccA,,"acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein ",,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K10247,,ELOVL1,,elongation of very long chain fatty acids protein 1 ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K10205,,ELOVL2,,elongation of very long chain fatty acids protein 2 ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K10249,,ELOVL4,,elongation of very long chain fatty acids protein 4 ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K10244,,ELOVL5,,elongation of very long chain fatty acids protein 5 ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K10203,,ELOVL6,,elongation of very long chain fatty acids protein 6 ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K10250,,ELOVL7,,elongation of very long chain fatty acids protein 7 ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K00209,,"fabV, ter",,enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K00208,,fabI,,enoyl-[acyl-carrier protein] reductase I ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K02371,,fabK,,enoyl-[acyl-carrier protein] reductase II ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K07511,,ECHS1,,enoyl-CoA hydratase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K07515,,HADHA,,enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K10246,,ELO3,,fatty acid elongase 3 ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K00667,,FAS2,,"fatty acid synthase subunit alpha, fungi type ",,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K00668,,FAS1,,"fatty acid synthase subunit beta, fungi type ",,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K00665,,FASN,,"fatty acid synthase, animal type ",,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K07512,,"MECR, NRBF1",,mitochondrial trans-2-enoyl-CoA reductase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K10703,,"PHS1, PAS2",,very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase ,,,,,,
,Phagotrophy,Fatty acid biosynthesis,Fatty acid biosynthesis,K10258,,"TER, TSC13, CER10",,very-long-chain enoyl-CoA reductase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00232,,"ACOX1, ACOX3",,acyl-CoA oxidase [EC:1.3.3.6],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K06445,,fadE,,acyl-CoA dehydrogenase [EC:1.3.99.-],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00249,,"ACADM, acd",,acyl-CoA dehydrogenase [EC:1.3.8.7],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00255,,ACADL,,long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K09479,,ACADVL,,very long chain acyl-CoA dehydrogenase [EC:1.3.8.9],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K01692,,"paaF, echA",,enoyl-CoA hydratase [EC:4.2.1.17],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00022,,HADH,,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07516,,fadN,,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K10527,,MFP2,,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07514,,EHHADH,,"enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]",,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K01825,,fadB,,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K01782,,fadJ,,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07515,,HADHA,,enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00248,,"ACADS, bcd",,butyryl-CoA dehydrogenase [EC:1.3.8.1],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00632,,"fadA, fadI",,acetyl-CoA acyltransferase [EC:2.3.1.16],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07508,,ACAA2,,acetyl-CoA acyltransferase 2 [EC:2.3.1.16],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07509,,HADHB,,acetyl-CoA acyltransferase [EC:2.3.1.16],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07513,,ACAA1,,acetyl-CoA acyltransferase 1 [EC:2.3.1.16],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00626,,atoB,,acetyl-CoA C-acetyltransferase [EC:2.3.1.9],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K01897,,"ACSL, fadD",,long-chain acyl-CoA synthetase [EC:6.2.1.3],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K05894,,OPR,,12-oxophytodienoic acid reductase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00022,,HADH,,3-hydroxyacyl-CoA dehydrogenase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07516,,fadN,,3-hydroxyacyl-CoA dehydrogenase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K01782,,fadJ,,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K01825,,fadB,,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00019,,bdh,,3-hydroxybutyrate dehydrogenase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K01574,,adc,,acetoacetate decarboxylase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00632,,"fadA, fadI",,acetyl-CoA acyltransferase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07509,,HADHB,,acetyl-CoA acyltransferase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07513,,ACAA1,,acetyl-CoA acyltransferase 1 ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07508,,ACAA2,,acetyl-CoA acyltransferase 2 ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00626,,atoB,,acetyl-CoA C-acetyltransferase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00249,,"ACADM, acd",,acyl-CoA dehydrogenase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K06445,,fadE,,acyl-CoA dehydrogenase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00232,,"ACOX1, ACOX3",,acyl-CoA oxidase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K10525,,AOC,,allene oxide cyclase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K01692,,"paaF, echA",,enoyl-CoA hydratase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07511,,ECHS1,,enoyl-CoA hydratase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07514,,EHHADH,,"enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase ",,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K07515,,HADHA,,enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K10527,,MFP2,,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K01640,,"HMGCL, hmgL",,hydroxymethylglutaryl-CoA lyase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K01641,,HMG-CoA synthase,,hydroxymethylglutaryl-CoA synthase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00454,,LOX2S,,lipoxygenase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K01897,,"ACSL, fadD",,long-chain acyl-CoA synthetase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00255,,ACADL,,long-chain-acyl-CoA dehydrogenase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K15013,,ACSBG,,long-chain-fatty-acid--CoA ligase ACSBG ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K09479,,ACADVL,,very long chain acyl-CoA dehydrogenase ,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K05939,,aas,,acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K20495,,CYP704B1,,long-chain fatty acid omega-monooxygenase [EC:1.14.14.80],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K15401,,CYP86A1,,fatty acid omega-hydroxylase [EC:1.14.-.-],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K00252,,"GCDH, gcdH",,glutaryl-CoA dehydrogenase,,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K08765,,CPT1A,,"carnitine O-palmitoyltransferase 1, liver isoform [EC:2.3.1.21]",,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K08766,,CPT2,,carnitine O-palmitoyltransferase 2 [EC:2.3.1.21],,,,,,
,Phagotrophy,Fatty acid breakdown,Fatty acid breakdown,K19524,,CPT1C,,"carnitine O-palmitoyltransferase 1, brain isoform [EC:2.3.1.21]",,,,,,
,Phagotrophy,cathepsin A (carboxypeptidase C) [EC:3.4.16.5],Lysosome binding and processing,K13289,,"CTSA, CPY",,,,,,,,
,Phagotrophy,cathepsin B [EC:3.4.22.1],Lysosome binding and processing,K01363,,CTSB,,,,,,,,
,Phagotrophy,cathepsin C [EC:3.4.14.1],Lysosome binding and processing,K01275,,CTSC,,,,,,,,
,Phagotrophy,cathepsin D [EC:3.4.23.5],Lysosome binding and processing,K01379,,CTSD,,,,,,,,
,Phagotrophy,cathepsin E [EC:3.4.23.34],Lysosome binding and processing,K01382,,CTSE,,,,,,,,
,Phagotrophy,cathepsin F [EC:3.4.22.41],Lysosome binding and processing,K01373,,CTSF,,,,,,,,
,Phagotrophy,cathepsin G [EC:3.4.21.20],Lysosome binding and processing,K01319,,CTSG,,,,,,,,
,Phagotrophy,cathepsin H [EC:3.4.22.16],Lysosome binding and processing,K01366,,CTSH,,,,,,,,
,Phagotrophy,cathepsin K [EC:3.4.22.38],Lysosome binding and processing,K01371,,CTSK,,,,,,,,
,Phagotrophy,cathepsin L [EC:3.4.22.15],Lysosome binding and processing,K01365,,CTSL,,,,,,,,
,Phagotrophy,cathepsin O [EC:3.4.22.42],Lysosome binding and processing,K01374,,CTSO,,,,,,,,
,Phagotrophy,cathepsin S [EC:3.4.22.27],Lysosome binding and processing,K01368,,CTSS,,,,,,,,
,Phagotrophy,cathepsin W [EC:3.4.22.-],Lysosome binding and processing,K08569,,CTSW,,,,,,,,
,Phagotrophy,cathepsin X [EC:3.4.18.1],Lysosome binding and processing,K08568,,CTSZ,,,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K01288,,KEX1,,carboxypeptidase D ,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K01285,,PRCP,,lysosomal Pro-X carboxypeptidase ,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K06002,,PGA,,pepsin A ,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K09646,,SCPEP1,,serine carboxypeptidase 1 ,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K16296,,SCPL-I,,serine carboxypeptidase-like clade I ,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K16297,,SCPL-II,,serine carboxypeptidase-like clade II ,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K16298,,SCPL-IV,,serine carboxypeptidase-like clade IV ,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K12391,,AP1G1,,AP-1 complex subunit gamma-1,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K12396,,AP3D1,,AP-3 complex subunit delta-1,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K12400,,AP4E1,,AP-4 complex subunit epsilon-1,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K05656,,ABCB9 TAPL,,ATP-binding cassette subfamily B (MDR/TAP) member 9 ,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K04646,,CLTC,,Clathrin heavy chain,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K01074,,PPT,,Palmitoyl-protein thioesterase,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K02155,,ATPeV0C ATP6L,,V-type H+-transporting ATPase 16kDa proteolipid subunit ,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K03661,,ATPeV0B ATP6F,,V-type H+-transporting ATPase 21kDa proteolipid subunit ,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K02154,,ATPeV0A ATP6N,,V-type H+-transporting ATPase subunit a ,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K02146,,ATPeV0D ATP6D,,V-type H+-transporting ATPase subunit d,,,,,,
,Phagotrophy,Lysosome associated,Lysosome binding and processing,K02144,,ATPeV1H,,V-type H+-transporting ATPase subunit H,,,,,,
,Phagotrophy,Motility and prey recognition,Motility and prey recognition,K06560,,"mannose receptor, C type",,,,,,,,
,Phagotrophy,Motility and prey recognition,Motility and prey recognition,K06256,,CD44,,,,,,,,
,Phagotrophy,Motility and prey recognition,Motility and prey recognition,K06259,,CD36 antigen,,,,,,,,
,Phagotrophy,Motility and prey recognition,Motility and prey recognition,K00914,,"PIK3C3, VPS34",,phosphatidylinositol 3-kinase [EC:2.7.1.137],,,,,,
,Phagotrophy,Motility and prey recognition,Motility and prey recognition,K01114,,phospholipase C,,,,,,,,
,Phagotrophy,Motility and prey recognition,Motility and prey recognition,K05700,,vinculin ,,,,,,,,
,Phagotrophy,calnexin,Phagosome maturation,K08054,,calnexin,,,,,,,,
,Phagotrophy,calreticulin,Phagosome maturation,K08057,,calreticulin,,,,,,,,
,Phagotrophy,early endosome antigen 1,Phagosome maturation,K12478,,early endosome antigen 1,,,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K12182,,hepatocyte growth factor-regulated tyrosine kinase substrate,,hepatocyte growth factor-regulated tyrosine kinase substrate,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K07897,,Ras-related protein Rab-7A,,Ras-related protein Rab-7A,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K07898,,Ras-related protein Rab-7B,,Ras-related protein Rab-7B,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K13883,,Rab-interacting lysosomal protein,,Rab-interacting lysosomal protein,,,,,,
,Phagotrophy,Phagosome associated,Phagosome maturation,K10413,,"dynein heavy chain 1, cytosolic",,"dynein heavy chain 1, cytosolic",,,,,,
