order,Category01,FullName,Category02,KEGG,PFAM,GeneID,Descriptions,,REFs,Questions,,,,Category01
,Gluconeogenesis-glycolysis,"fructose-bisphosphate aldolase, class I ",Gluconeogenesis,K01623,,ALDO,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-bisphosphate aldolase, class I ",Gluconeogenesis,K11645,,fbaB,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-bisphosphate aldolase, class II ",Gluconeogenesis,K01624,,"FBA, fbaA","Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,glyceraldehyde 3-phosphate dehydrogenase ,Gluconeogenesis,K00134,,"GAPDH, gapA","Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) ,Gluconeogenesis,K00150,,gap2,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,phosphoenolpyruvate carboxykinase (ATP) ,Gluconeogenesis,K01610,,pckA,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,phosphoenolpyruvate carboxykinase (GTP) ,Gluconeogenesis,K01596,,"pckA, PCK","Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,phosphoglycerate kinase ,Gluconeogenesis,K00927,,"PGK, pgk","Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,probable phosphoglycerate mutase ,Gluconeogenesis,K15634,,gpmB,"Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,triosephosphate isomerase (TIM) ,Gluconeogenesis,K01803,,"TPI, tpiA","Create glucose from non-carbohydrate carbon substrate, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase ",Glycolysis,K01834,,"PGAM, gpmA","Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase ",Glycolysis,K15633,,gpmI,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase ",Glycolysis,K15635,,apgM,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,6-phosphofructokinase 1 ,Glycolysis,K00850,,"pfkA, PFK","Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,6-phosphofructokinase 2 ,Glycolysis,K16370,,pfkB,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,ADP-dependent glucokinase ,Glycolysis,K08074,,ADPGK,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,enolase ,Glycolysis,K01689,,"ENO, eno","Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase ",Glycolysis,K16306,,fbp aldolase,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-bisphosphate aldolase, class I ",Glycolysis,K01623,,ALDO,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-bisphosphate aldolase, class I ",Glycolysis,K11645,,fbaB,"Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
,Gluconeogenesis-glycolysis,"fructose-bisphosphate aldolase, class II ",Glycolysis,K01624,,"FBA, fbaA","Hydrolysis of glucose to create energy, catabolic",,,Complete?,,,,
